f_location,latitude,longitude,location
"15 Main Street, Townparks, Ballyshannon, Donegal, F94 Y2X7,Ireland",54.5016189,-8.1906017,"15 Main St, Townparks, Ballyshannon, Co. Donegal, F94 Y2X7, Ireland"
"Unit 2 Larkin House, Letterkenny, Donegal, F92 D7YF,Ireland",54.9460462,-7.740360900000001,"Larkin House, Oldtown Road, Letterkenny, Co. Donegal, Ireland"
"51 The Diamond, Candonagh, Donegal,Ireland",55.2514574,-7.2601552,"51 The Diamond, Churchland Quarters(Carrowtemple Moneyshandoney And Carrick), Co. Donegal, Ireland"
"The Mall, Rossreagh, Ramelton, Donegal, F92N234,Ireland",55.0370106,-7.6485099,"The Mall, Rathmelton, Co. Donegal, Ireland"
"Navenny Shopping Centre, Ballybofey, Donegal, F93 XY17,Ireland",54.79615159999999,-7.7816125,"Ballybofey, Co. Donegal, Ireland"
"42 Main Street, Dungloe, Donegal, F94 N7VT,Ireland",54.9490546,-8.3604427,"42 Main St, Dunglow, Dungloe, Co. Donegal, F94 N7VT, Ireland"
"Stranacorkra, Derrybeg, Donegal, F92 X968,Ireland",55.08861,-8.288088,"Stranacorcragh, Co. Donegal, F92 X968, Ireland"
"Main Street, Bundoran, Donegal, F94 X663,Ireland",54.4781892,-8.2798572,"Drumacrin, Co. Donegal, F94 X663, Ireland"
"Bridge STreet, Lifford, Donegal, F93 P983,Ireland",54.8320748,-7.4811066,"Bridge St, Co. Donegal, Ireland"
"Units 3-4 Supervalu Shopping Centre, Drogheda Street, Ballbriggan, Dublin, K32 KX59,Ireland",53.6118028,-6.186696299999999,"Unit 2, Supervalu Shopping Centre, Drogheda St, Tankardstown, Balbriggan, Co. Dublin, K32 AF40, Ireland"
"Unit 4 Tesco Shopping Centre, Hillcrest, Lucan, Dublin, K78 V2T5,Ireland",53.3416511,-6.3531602,"Tesco Shopping Centre, Ballyfermot Rd, Kylemore, Dublin 10, Ireland"
"63 Lower Mounttown Road, Dun Laoghaire, Dublin, A96 RX99,Ireland",53.28611309999999,-6.1459471,"Monkstown, Dublin, Co. Dublin, A96 RX99, Ireland"
"Unit 5 Drogheda Street, Balbriggan, Dublin, K32 H566,Ireland",53.6101153,-6.1834925,"5 Drogheda St, Balbriggan, Co. Dublin, Ireland"
